title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
A.I. Artificial Intelligence,2001-06-29,142224,Q221113,7.041,26.617,235926552,277291
Lara Croft: Tomb Raider,2001-06-11,49800,Q464014,5.879,32.121,274703340,106687
Maleficent: Mistress of Evil,2019-10-16,46991579,Q54437950,7.323,40.547,491730089,141319
A Quiet Place Part II,2021-05-21,60883456,Q53911403,7.511,46.269,297400000,910940
What Happened to Monday,2017-08-18,47404924,Q20814900,7.17,39.927,27975429,85690
Dracula Untold,2014-10-01,39358996,Q14512114,6.401,21.951,217124280,137310
Dirty Dancing,1987-08-21,680361,Q253978,7.345,29.153,214577242,350946
First Blood,1982-10-22,872441,Q244963,7.5,41.721,125212904,299928
Independence Day: Resurgence,2016-06-22,44523855,Q19614711,5.283,31.224,389681935,240877
The Book of Eli,2010-01-14,20450767,Q274529,6.781,36.812,157107755,219100
Mrs. Doubtfire,1993-11-24,348737,Q483852,7.186,23.964,441286195,319415
The Godfather Part III,1990-12-25,129644,Q202326,7.422,73.018,136766062,458887
Dumb and Dumber,1994-12-16,737803,Q462418,6.606,34.591,247275374,319152
Space Jam,1996-11-15,265033,Q207659,6.835,27.025,250200000,238158
The Babadook,2014-05-22,41716245,Q16011764,6.52,20.417,10312540,327559
Red Sparrow,2018-02-28,50852656,Q28173075,6.533,24.57,151572634,117907
Tropic Thunder,2008-08-09,11942501,Q380981,6.635,23.108,195702811,502874
The Lobster,2015-10-15,41841614,Q16996794,7.034,19.716,15656193,341836
Eyes Wide Shut,1999-07-16,9979,Q209481,7.474,51.808,162100000,708011
Meet the Parents,2000-10-06,695023,Q623724,6.672,21.88,330444045,175762
No Time to Die,2021-09-29,38042908,Q21534241,7.402,51.295,774153007,649297
Night at the Museum: Secret of the Tomb,2014-12-17,38890125,Q15916752,6.2,38.749,363204635,134064
Black Panther: Wakanda Forever,2022-11-09,57234452,Q54860489,7.193,131.897,859102154,363755
Central Intelligence,2016-06-16,46585079,Q19867575,6.41,25.567,216972543,134080
Moonrise Kingdom,2012-05-16,31462588,Q217112,7.69,19.062,68263166,120987
The Conjuring: The Devil Made Me Do It,2021-05-25,60866128,Q64145552,7.491,152.616,206431050,191608
"I, Tonya",2017-12-08,52893564,Q28369564,7.501,16.904,53939297,223358
The Dictator,2012-05-15,30553238,Q464964,6.173,31.301,179379533,145667
The Interview,2014-12-25,41457397,Q15524911,6.185,54.384,12342632,173686
Live Free or Die Hard,2007-06-20,1752246,Q50861,6.606,33.523,383531464,155515
Training Day,2001-10-05,171623,Q308929,7.485,30.21,104876233,371961
